"","force"
"1",544813.66
"2",517334.31
"3",519784.38
"4",543776.01
"5",512643.22
"6",544030.04
"7",559805.08
"8",563119.95
"9",512580.26
"10",527934.09
"11",560554.42
"12",554898.53
"13",541858.3
"14",562042.52
"15",552743.81
"16",536653.21
"17",533328.04
"18",538161.77
"19",559890.85
"20",535737.39
"21",548079.34
"22",560768.5
"23",553253.82
"24",517043.8
"25",513888.55
"26",545389.3
"27",556404.58
"28",552522.96
"29",539943.27
"30",517650.67
"31",534953.27
"32",542754.75
"33",510286.56
"34",560380.65
"35",551069.44
"36",526508.17
"37",535641.92
"38",538870.51
"39",547845.02
"40",552054.51
"41",557869.09
"42",550906.68
"43",513155.9
"44",523208.85
"45",536358.14
"46",523295.35
"47",551051.43
"48",519422.97
"49",543926.65
"50",516162.34
"51",510077.42
"52",562523.04
"53",544273.42
"54",536663.15
"55",535688.57
