"","force"
"1",241325.73
"2",243728.04
"3",256239.87
"4",241249.22
"5",261579.98
"6",252671.34
"7",238766.3
"8",243533.92
"9",250889.26
"10",245971.45
"11",241202.89
"12",239127.69
"13",237710.61
"14",248405.01
"15",258122.46
"16",251420.58
"17",248412.94
"18",247727.54
"19",254359.77
"20",253242.95
"21",254825.31
"22",258461.62
"23",250804.49
"24",250320.82
"25",242921.6
"26",243397.22
"27",260139.04
"28",248646.51
"29",254697.27
"30",260699.33
"31",251779.3
"32",259243.05
"33",259656.95
"34",239482.29
"35",244827.21
"36",253638.32
"37",247488.67
"38",245847.11
"39",261660.37
"40",255737.01
"41",259994.56
"42",253412.47
"43",251223.46
"44",258204.67
"45",237357.84
"46",244711.71
"47",257428.73
"48",245088.43
"49",249788.28
"50",252391.3
"51",252487.16
"52",246138.29
