"","force"
"1",419814.06
"2",413006.69
"3",396190.52
"4",399971.62
"5",390222.35
"6",388518.54
"7",389337.9
"8",407620.21
"9",409231.64
"10",405902.06
"11",411654.11
"12",393681.62
"13",400521.04
"14",390552.67
"15",398877
"16",415499.2
"17",418056.42
"18",390210.08
"19",397793.83
"20",412436.87
"21",420720.31
"22",393575.7
"23",400442.56
"24",395121.41
"25",424873.37
"26",410636.39
"27",423865.5
"28",413074.88
"29",402164.99
"30",424549.65
"31",411617.37
"32",397693.19
"33",414546.52
"34",414837.92
"35",404682.2
"36",402351.05
"37",423079.05
