"","force"
"1",297156.44
"2",285279.76
"3",296857.15
"4",283029.26
"5",279703.92
"6",287608.12
"7",297518.05
"8",289030.27
"9",303032.12
"10",279588.87
"11",288138.85
"12",293958.23
"13",298621.95
"14",298800.57
"15",279798.86
"16",299905.02
"17",284027.3
"18",283076.89
"19",282141.63
"20",292339.05
"21",285230.76
"22",298927.91
"23",303806.26
"24",293126.87
"25",297547.08
"26",294735.34
"27",297576.5
"28",284477.36
"29",291590.03
"30",291113.82
"31",296725.26
"32",278442.15
"33",298739.67
"34",300018.33
"35",296670.94
"36",302497.77
"37",279248.2
"38",296755.23
