"","force"
"1",135413.35
"2",127262.23
"3",134460.4
"4",136561.27
"5",135187.38
"6",131175.08
"7",124433.06
"8",130770.73
"9",135319.44
"10",127912.6
"11",125472.07
"12",135607.15
"13",131902.83
"14",126406.39
"15",130338.56
"16",132123.82
"17",129257.99
"18",134934.73
"19",125705.69
"20",128865.68
"21",125557.47
"22",134058.73
"23",134826.74
"24",132560.79
"25",125138.22
"26",125608.1
"27",130938.11
"28",133513.8
"29",134383.91
"30",131125.8
"31",126482.56
"32",125602.07
"33",128070.64
"34",136490.17
"35",136596.37
"36",129389.59
"37",132776.01
"38",136688.2
"39",136488.86
"40",134841.84
"41",134754.23
"42",133444.64
"43",131133.02
"44",136254.12
"45",135218.12
"46",132573.11
"47",134973.59
"48",127378.63
"49",131182.71
"50",131661.36
"51",127306.52
"52",125849.09
"53",129375.61
"54",127557.92
"55",126697.09
"56",126042.09
"57",128994.31
"58",129566.1
"59",130728.75
"60",136670.38
"61",129174.14
"62",125168.73
"63",125733.14
"64",128704.93
"65",124597.09
"66",131700.7
"67",128711.24
"68",129664
"69",125966.94
"70",126486.21
"71",130914.23
"72",123769.22
"73",135503.46
"74",126851.86
"75",125784.84
"76",125486
"77",128257.66
"78",134299.07
"79",128365.74
"80",133237.91
"81",125541.09
"82",126559.21
"83",134354.28
"84",125833.28
"85",134976.27
"86",134458.35
"87",134205.28
"88",127045.17
"89",133383.9
"90",130129.25
"91",131614.58
"92",135021.48
"93",127553.47
"94",129737.14
"95",124009.97
"96",136658.38
"97",133330.53
"98",133790.4
"99",136375.87
"100",133377.96
"101",131618.4
"102",130859.32
"103",126364.86
"104",129090.62
"105",124268.17
