"","force"
"1",24605.03
"2",24886.34
"3",24412.58
"4",24625.3
"5",25778.4
"6",26065.05
"7",24994.76
"8",24526.94
"9",25639.27
"10",25172
"11",24522.07
"12",25753.7
"13",25337.02
"14",25398.4
"15",25928.9
"16",25323.13
"17",25681.59
"18",26502.59
"19",25436.68
"20",25087.82
"21",24290.1
"22",26565.64
"23",26173.2
"24",25145.42
"25",25595.13
"26",26653.4
"27",24471.67
"28",26372.86
"29",25798.64
"30",26310.36
"31",24474.2
"32",25888.77
"33",24264.96
"34",24838.68
"35",24573.96
"36",24179.5
"37",25508.26
"38",25698.02
"39",24790.65
"40",25591.67
"41",24461.42
"42",26041.78
"43",25341.95
"44",24366.67
"45",25845.26
"46",25300.04
"47",24857.98
"48",25953.74
"49",24790.52
"50",26190.76
"51",25309.24
"52",25029.53
"53",26483.28
"54",25361.19
"55",24861.93
"56",26604.06
"57",25399.4
"58",26573.44
"59",25467.5
"60",25085.37
"61",26594.48
"62",25079.18
"63",25289.89
"64",25133.93
"65",24509.31
"66",26393.02
"67",25899.95
"68",25158.68
"69",24414.18
"70",25614.44
"71",25452.77
"72",25589.13
"73",24699.97
"74",24204.94
"75",25025.99
"76",24337.74
"77",25651.49
"78",25187.61
"79",26542.85
"80",24690.99
"81",25914.48
"82",26286.97
"83",25631.77
"84",24472.5
"85",25677.18
"86",25814.1
"87",26606.66
"88",26414.26
"89",25708.76
"90",25107.88
"91",26212.61
"92",24715.57
"93",25575.09
"94",24245.53
"95",25857.7
"96",24628.7
"97",25934.41
"98",25787.88
"99",24243.19
"100",26662.17
"101",24686.57
"102",24231.84
"103",24126.68
"104",25450.19
"105",25441.08
"106",26370.14
"107",24971.84
"108",25894.63
"109",26598.43
"110",25143.99
"111",26370.45
"112",26382.98
"113",24667.64
"114",26339.8
"115",24586.15
"116",24219.45
"117",24964.11
"118",26017.77
"119",26241.54
"120",25959.78
"121",24379.66
"122",25746.33
"123",25461.99
"124",24657.18
"125",25668.31
"126",24440.38
"127",24312.01
"128",24160.64
"129",24494.05
"130",24453.44
"131",25671.85
"132",25153.48
"133",25693.74
"134",24584.87
"135",25876.64
