"","force"
"1",407967.65
"2",403308.69
"3",407105.93
"4",427416.97
"5",437888.99
"6",405492.69
"7",412543.56
"8",429074.67
"9",400314.3
"10",411636.39
"11",434782.01
"12",427109.75
"13",408976.31
"14",414680.33
"15",409513.95
"16",434001.12
"17",429192.69
"18",425855.69
"19",405048.54
"20",430871.5
"21",403048.73
"22",425965.94
"23",423192.57
"24",422317.88
"25",401902.62
"26",414647.74
"27",408072.09
"28",412269.3
"29",415637.46
"30",400448.37
"31",424128.94
"32",415904.6
"33",402783.23
"34",426700.8
"35",434208.22
"36",411577.83
"37",425742.18
"38",407828.17
"39",420123.17
"40",417012.27
"41",404942.44
"42",434297.81
"43",439682.39
"44",413121.93
"45",423471.94
"46",439945.24
"47",429219.28
"48",419965.34
"49",413501.16
"50",416561.45
"51",439484.18
"52",399802.94
"53",404764.09
"54",416121.97
"55",425339.03
"56",405485.89
"57",408836.53
"58",427202.48
"59",430479.53
"60",402272.58
"61",399732.5
"62",398721.98
"63",419803.97
"64",416931.43
"65",433943.9
"66",403237.35
"67",407759.2
"68",438308.76
"69",419204.64
"70",402208.45
"71",415943.42
"72",416004.94
"73",434930.23
"74",425098.92
"75",420814.9
"76",422360.63
"77",400954.88
"78",430781.23
"79",424901.76
"80",418495.64
"81",419618.21
"82",425593.5
"83",416631.59
"84",422439.99
"85",415935.05
"86",440087.1
"87",414538.52
"88",439328.55
"89",402263.32
"90",428746.58
"91",420504.37
"92",411425.68
"93",405519.21
"94",408501.34
