"","force"
"1",313924.79
"2",338200.68
"3",330964.37
"4",340011.48
"5",321020.34
"6",334865.9
"7",340999.47
"8",328102.39
"9",328235.39
"10",312842.41
"11",335756.89
"12",319323.87
"13",336725.1
"14",329343.04
"15",338044.4
"16",324205.4
"17",338255.24
"18",328787.12
"19",315500.83
"20",341977.43
"21",335878.21
"22",334489.24
"23",336629.52
"24",330045.74
"25",314967.41
"26",325887.48
"27",328191.06
"28",315592.13
"29",330009.62
"30",312474.2
"31",338681.26
"32",342743.27
"33",341090.16
"34",323013.57
"35",340471.28
"36",330205.03
"37",339971.49
"38",316595.1
"39",322144.22
"40",322734.1
"41",331328.12
"42",325568.15
"43",333702.29
"44",332619.86
"45",319056.7
"46",340321.06
"47",333700.29
"48",312347.77
"49",311968.1
"50",332692.87
"51",324659.2
"52",316674.53
"53",339290.04
"54",327324.36
"55",315803.26
"56",343091.81
"57",320950.31
"58",340600.91
"59",320348.3
"60",321834.22
"61",343032.69
"62",320504.23
"63",313719.77
"64",334864.2
"65",335405.43
"66",324484.12
"67",317086.52
"68",313853.63
