"","force"
"1",218585.96
"2",221637.43
"3",220719.33
"4",204385.64
"5",214442.15
"6",221190.41
"7",223007.58
"8",225355.23
"9",213397.32
"10",205162.64
"11",216480.82
"12",213193.66
"13",215882.12
"14",222157.64
"15",205081.86
"16",220942.55
"17",204661.09
"18",206381.15
"19",224360.7
"20",214346.89
"21",205564.53
"22",210176.42
"23",206142.66
"24",209595.01
"25",223689.48
"26",210780.41
"27",222323.36
"28",206202.17
"29",223296.62
"30",215021.02
"31",208404.73
"32",205248.58
"33",213164.72
"34",209655.05
"35",206228.66
"36",219681.77
"37",213163.41
"38",220882.59
"39",219812.2
"40",206147.94
"41",221527.79
"42",206707.06
"43",209627.67
"44",221319.35
"45",204396.73
"46",208484.9
"47",210983.74
"48",219676.97
"49",221349.28
"50",224806.77
"51",210278.6
"52",220067.26
"53",222250.38
"54",221799.33
"55",223470.74
"56",212913.98
"57",225710.34
"58",209431.72
"59",214576.82
"60",216198.74
"61",218207.62
"62",214109.51
"63",224582.83
