"","force"
"1",39117.28
"2",37904.6
"3",39082.6
"4",39519.96
"5",38033.1
"6",36607.89
"7",37400.51
"8",40136.56
"9",37113.43
"10",39104.08
"11",39407.9
"12",37082.23
"13",36758.81
"14",37897.84
"15",36966.08
"16",39878.45
"17",38922.13
"18",36810.88
"19",38855.16
"20",37484.66
"21",36571.93
"22",39274.64
"23",37954.7
"24",36679.67
"25",39397.84
"26",39692.07
"27",39013.1
"28",38759.01
"29",38422.77
"30",38670.08
"31",39245.46
"32",36822.11
"33",37365.46
"34",38333.09
"35",38369.51
"36",39989.24
"37",37615.07
"38",36668.06
"39",39484.36
"40",37046.7
"41",37174.49
"42",37994.33
"43",38414.67
"44",36869.59
"45",37607.28
"46",36409.22
"47",37329.32
"48",37925.33
"49",36632.24
"50",37891.87
"51",37635.75
"52",37975.59
"53",38429.77
"54",36728.05
"55",36477.76
"56",38976.12
"57",37139.15
"58",38433.85
"59",38010.43
"60",37037.25
"61",36453.08
"62",36684.72
"63",39494.37
"64",38283.57
"65",36989.44
"66",40037.81
"67",36599.97
"68",39014.65
"69",39513.21
"70",37733.73
"71",36708.66
"72",38580.28
"73",40050.39
"74",37125.76
"75",36385.45
"76",38573.14
