"","force"
"1",202153.16
"2",194706.69
"3",188518.59
"4",194768.14
"5",201782.3
"6",202524.19
"7",197130.55
"8",201418.56
"9",192301.17
"10",203100.62
"11",187134.99
"12",189593.76
"13",199970.28
"14",190669.52
"15",203280.27
"16",191326.48
"17",200858.57
"18",187595.74
"19",204810.76
"20",202622.35
"21",202895.29
"22",193849.69
"23",196790.49
"24",202636.78
"25",185605.9
"26",194089.77
"27",200056.71
"28",187987.16
"29",193455.11
"30",201169.57
"31",199160.93
"32",186650.02
"33",203736.85
"34",201140.54
"35",186688.73
"36",204559.17
"37",195750.7
"38",194290.49
"39",199390.82
"40",200656.49
"41",201018.48
"42",190084.43
"43",188962.6
"44",189686.39
"45",203541.97
"46",196581.05
"47",203742.73
"48",195413.28
"49",192415.24
"50",198820.44
"51",193670.03
"52",201803.51
"53",189735.1
"54",193925.24
"55",191296.58
"56",187380.46
"57",202908.05
