"","force"
"1",151489.37
"2",149562.92
"3",152387.02
"4",145827.63
"5",147811.08
"6",152675.34
"7",148064.77
"8",148774.73
"9",146117.96
"10",149591.71
"11",144457.2
"12",143576.04
"13",144446.51
"14",149590.93
"15",147585.95
"16",143432.06
"17",146372.31
"18",144398.01
"19",141258.6
"20",155494.3
"21",144657.74
"22",147467.8
"23",152018.75
"24",146174.68
"25",150086.1
"26",143469.77
"27",143713.04
"28",154842.58
"29",151154.01
"30",154320.08
"31",148475.75
"32",142261.02
"33",154331.7
"34",145371.32
"35",149797.17
"36",144645.53
"37",148260.33
"38",146566.63
"39",143917.64
"40",151774.75
"41",144443.51
"42",146390.89
"43",143986.11
"44",145389.38
"45",145900.57
"46",146571.37
"47",152688.44
"48",155644.24
"49",142614.83
"50",152024.1
"51",149744.71
"52",150602.82
"53",143044.01
"54",147430.83
"55",150216.18
"56",150947.78
"57",147962.56
"58",143604.08
"59",142356.95
"60",146785.77
"61",146817.61
"62",142117.67
"63",152997.62
