"","force"
"1",47389.31
"2",49477.5
"3",45223.1
"4",45078.02
"5",48236.14
"6",48192.6
"7",46354.45
"8",48724.16
"9",49629.58
"10",46381.94
"11",48311.49
"12",48680.26
"13",47053.39
"14",48155.59
"15",49346.02
"16",45469.6
"17",47516.68
"18",47977.09
"19",45867.09
"20",47106.84
"21",46610
"22",46749.38
"23",45211.58
"24",49584.61
"25",48025.1
"26",47079.92
"27",46514.77
"28",47218.54
"29",46216.54
"30",46008.39
"31",49659.04
"32",45921.96
"33",48563.77
"34",47374.85
"35",45463.23
"36",46530.75
"37",45863.62
"38",45746
"39",49022.13
"40",46697.67
"41",47516.21
"42",45705.65
"43",46552.35
"44",47153.39
"45",47742.39
