"","force"
"1",23853.78
"2",22635.01
"3",22785.48
"4",23683.36
"5",24022.99
"6",24822.29
"7",24152.47
"8",24664.21
"9",23737.41
"10",24675.17
"11",23446.14
"12",23863.53
"13",24194.8
"14",24109.42
"15",23913.19
"16",24222
"17",22685.82
"18",24005.29
"19",23362.55
"20",24181.75
"21",24176.12
"22",24310.01
"23",24626.92
"24",23150.49
"25",23959.1
"26",23770.38
"27",24183.64
"28",24785.76
"29",23594.15
"30",23710.16
"31",24176.29
"32",24535.03
"33",23573.37
"34",23712.9
"35",23777.12
"36",24887.02
"37",23213.4
"38",24845.01
"39",23655.25
"40",22765.63
"41",23115.74
"42",22834
"43",22668.64
"44",22963.57
"45",22619.95
