"","force"
"1",69043.95
"2",69057.69
"3",70547.96
"4",67234.67
"5",68317.75
"6",71470.54
"7",68084.96
"8",68312.76
"9",72032.56
"10",66901.89
"11",68257.22
"12",73028.18
"13",69505.05
"14",73137.44
"15",70523.78
"16",67498.76
"17",73406.92
"18",68459.13
"19",70794.16
"20",72503.62
"21",67510.9
"22",70311.72
"23",72812.03
"24",70659.28
"25",67491.04
"26",70016.45
"27",73256.84
"28",69668.1
"29",67992.94
"30",68240.07
"31",70755.75
"32",68469.76
"33",70262.63
"34",73073.89
"35",70029.38
"36",71036.87
"37",69930.94
"38",72711.31
"39",70708.45
"40",71629.74
"41",71113.77
"42",68660.97
"43",71173.83
"44",70659.16
"45",69853.85
