"","force"
"1",84076.71
"2",87551.19
"3",88196.33
"4",86257.91
"5",84249.92
"6",87341.75
"7",88026.96
"8",90776.2
"9",89750.47
"10",89430.3
"11",85278.54
"12",89305.86
"13",88511.5
"14",89839.53
"15",88091.93
"16",88364.68
"17",85305.96
"18",82958.47
"19",86037.16
"20",88020.38
"21",90710.6
"22",87307.32
"23",87342.16
"24",89886.62
"25",84065.66
"26",83061.05
"27",89514.95
"28",88769.38
"29",86100.19
"30",86944.19
"31",90072.26
"32",84871.24
"33",86779.01
"34",83182.58
"35",85962.82
"36",83666.87
"37",90291.68
"38",85120.83
